Date,Close
2021-08-01,151.83
2021-09-01,141.50
2021-10-01,149.80
2021-11-01,165.30
2021-12-01,177.57
2022-01-01,174.78
2022-02-01,165.12
2022-03-01,174.61
2022-04-01,157.65
2022-05-01,148.84
2022-06-01,136.72
2022-07-01,162.51
2022-08-01,157.22
2022-09-01,138.20
2022-10-01,153.34
2022-11-01,148.03
2022-12-01,129.93
2023-01-01,144.29
2023-02-01,147.41
2023-03-01,164.90
2023-04-01,169.68
2023-05-01,177.25
2023-06-01,193.97
2023-07-01,196.45
2023-08-01,187.87
2023-09-01,171.21
2023-10-01,170.77
2023-11-01,189.95
2023-12-01,192.53
2024-01-01,184.40
2024-02-01,180.75
2024-03-01,171.48
2024-04-01,170.33
2024-05-01,192.25
2024-06-01,210.62
2024-07-01,222.08
2024-08-01,229.00
2024-09-01,233.00
2024-10-01,225.91
2024-11-01,237.33
2024-12-01,250.42
2025-01-01,236.00
2025-02-01,241.84
2025-03-01,222.13
2025-04-01,212.50
2025-05-01,200.85
2025-06-01,205.17
2025-07-01,207.57
2025-08-01,232.14
2025-09-01,253.91
2025-10-01,269.61
2025-11-01,278.33
2025-12-01,271.86
2026-01-01,259.48
2026-02-01,264.18
2026-03-01,253.79
2026-04-01,271.35
2026-05-01,312.06
2026-06-01,289.36
2026-07-01,327.74
2026-07-22,325.94
