Date,Close
2021-08-01,210.87
2021-09-01,191.97
2021-10-01,204.01
2021-11-01,193.35
2021-12-01,206.74
2022-01-01,201.56
2022-02-01,187.58
2022-03-01,222.82
2022-04-01,210.54
2022-05-01,215.85
2022-06-01,178.76
2022-07-01,198.25
2022-08-01,184.71
2022-09-01,164.08
2022-10-01,216.46
2022-11-01,236.41
2022-12-01,239.56
2023-01-01,252.29
2023-02-01,239.55
2023-03-01,228.84
2023-04-01,218.80
2023-05-01,205.75
2023-06-01,246.05
2023-07-01,265.17
2023-08-01,281.13
2023-09-01,273.00
2023-10-01,226.05
2023-11-01,250.72
2023-12-01,295.67
2024-01-01,300.31
2024-02-01,333.96
2024-03-01,366.43
2024-04-01,334.57
2024-05-01,338.52
2024-06-01,333.10
2024-07-01,346.20
2024-08-01,356.10
2024-09-01,391.12
2024-10-01,376.20
2024-11-01,406.11
2024-12-01,362.76
2025-01-01,371.44
2025-02-01,343.95
2025-03-01,329.80
2025-04-01,309.27
2025-05-01,348.03
2025-06-01,388.21
2025-07-01,438.02
2025-08-01,419.04
2025-09-01,477.15
2025-10-01,577.26
2025-11-01,575.76
2025-12-01,572.87
2026-01-01,657.36
2026-02-01,742.83
2026-03-01,708.46
2026-04-01,890.11
2026-05-01,875.87
2026-06-01,1064.90
2026-07-01,889.97
2026-07-22,893.01
