Date,Close
2021-08-01,96.77
2021-09-01,101.45
2021-10-01,114.49
2021-11-01,112.87
2021-12-01,117.35
2022-01-01,131.33
2022-02-01,144.00
2022-03-01,162.83
2022-04-01,156.67
2022-05-01,174.66
2022-06-01,144.78
2022-07-01,163.78
2022-08-01,158.06
2022-09-01,143.67
2022-10-01,180.90
2022-11-01,183.31
2022-12-01,179.49
2023-01-01,174.02
2023-02-01,160.77
2023-03-01,163.16
2023-04-01,168.58
2023-05-01,150.62
2023-06-01,157.35
2023-07-01,163.66
2023-08-01,161.10
2023-09-01,168.62
2023-10-01,145.73
2023-11-01,143.60
2023-12-01,149.16
2024-01-01,147.43
2024-02-01,152.01
2024-03-01,157.74
2024-04-01,161.27
2024-05-01,162.30
2024-06-01,156.42
2024-07-01,160.47
2024-08-01,147.95
2024-09-01,147.27
2024-10-01,148.82
2024-11-01,161.93
2024-12-01,144.84
2025-01-01,149.19
2025-02-01,158.62
2025-03-01,167.29
2025-04-01,136.06
2025-05-01,136.70
2025-06-01,143.19
2025-07-01,151.64
2025-08-01,160.60
2025-09-01,155.29
2025-10-01,157.72
2025-11-01,151.13
2025-12-01,152.41
2026-01-01,176.90
2026-02-01,186.76
2026-03-01,206.90
2026-04-01,193.31
2026-05-01,182.46
2026-06-01,165.76
2026-07-01,191.07
2026-07-22,193.23
