Date,Close
2021-08-01,181.30
2021-09-01,169.17
2021-10-01,169.07
2021-11-01,144.90
2021-12-01,154.89
2022-01-01,142.97
2022-02-01,148.46
2022-03-01,137.16
2022-04-01,111.63
2022-05-01,110.44
2022-06-01,94.40
2022-07-01,106.10
2022-08-01,112.08
2022-09-01,94.33
2022-10-01,106.54
2022-11-01,97.87
2022-12-01,86.88
2023-01-01,108.49
2023-02-01,99.61
2023-03-01,100.13
2023-04-01,102.50
2023-05-01,87.96
2023-06-01,89.28
2023-07-01,88.89
2023-08-01,83.68
2023-09-01,81.05
2023-10-01,81.59
2023-11-01,92.69
2023-12-01,90.29
2024-01-01,96.05
2024-02-01,111.58
2024-03-01,122.36
2024-04-01,111.10
2024-05-01,103.91
2024-06-01,99.29
2024-07-01,93.69
2024-08-01,90.38
2024-09-01,96.19
2024-10-01,96.20
2024-11-01,117.47
2024-12-01,111.35
2025-01-01,113.06
2025-02-01,113.80
2025-03-01,98.70
2025-04-01,90.95
2025-05-01,113.04
2025-06-01,124.01
2025-07-01,119.11
2025-08-01,118.38
2025-09-01,114.50
2025-10-01,112.62
2025-11-01,104.47
2025-12-01,113.77
2026-01-01,112.80
2026-02-01,106.04
2026-03-01,96.38
2026-04-01,103.75
2026-05-01,101.83
2026-06-01,96.25
2026-07-01,96.14
2026-07-22,97.01
