Date,Close
2021-08-01,326.18
2021-09-01,328.26
2021-10-01,371.74
2021-11-01,400.61
2021-12-01,415.01
2022-01-01,366.98
2022-02-01,315.83
2022-03-01,299.33
2022-04-01,300.40
2022-05-01,302.75
2022-06-01,274.27
2022-07-01,300.94
2022-08-01,288.42
2022-09-01,275.94
2022-10-01,296.13
2022-11-01,323.99
2022-12-01,315.86
2023-01-01,324.17
2023-02-01,296.54
2023-03-01,295.12
2023-04-01,300.54
2023-05-01,283.45
2023-06-01,310.64
2023-07-01,333.84
2023-08-01,330.30
2023-09-01,302.16
2023-10-01,284.69
2023-11-01,313.49
2023-12-01,346.55
2024-01-01,352.96
2024-02-01,380.61
2024-03-01,383.60
2024-04-01,334.22
2024-05-01,334.87
2024-06-01,344.24
2024-07-01,368.16
2024-08-01,368.50
2024-09-01,405.20
2024-10-01,393.75
2024-11-01,429.13
2024-12-01,388.99
2025-01-01,411.98
2025-02-01,396.60
2025-03-01,366.49
2025-04-01,360.49
2025-05-01,368.29
2025-06-01,366.64
2025-07-01,367.51
2025-08-01,406.77
2025-09-01,405.19
2025-10-01,379.59
2025-11-01,356.92
2025-12-01,344.10
2026-01-01,374.59
2026-02-01,380.72
2026-03-01,328.89
2026-04-01,328.80
2026-05-01,317.14
2026-06-01,352.68
2026-07-01,331.60
2026-07-22,336.01
