Date,AdjClose
2021-08-01,34.53
2021-09-01,33.41
2021-10-01,33.93
2021-11-01,33.68
2021-12-01,34.81
2022-01-01,34.22
2022-02-01,36.31
2022-03-01,36.83
2022-04-01,36.04
2022-05-01,34.87
2022-06-01,34.31
2022-07-01,33.45
2022-08-01,32.46
2022-09-01,31.53
2022-10-01,30.98
2022-11-01,33.60
2022-12-01,34.59
2023-01-01,36.59
2023-02-01,34.62
2023-03-01,37.37
2023-04-01,37.71
2023-05-01,37.20
2023-06-01,36.39
2023-07-01,37.20
2023-08-01,36.75
2023-09-01,34.99
2023-10-01,37.59
2023-11-01,38.54
2023-12-01,39.03
2024-01-01,38.49
2024-02-01,38.65
2024-03-01,42.01
2024-04-01,43.30
2024-05-01,43.99
2024-06-01,43.93
2024-07-01,46.30
2024-08-01,47.28
2024-09-01,49.70
2024-10-01,51.84
2024-11-01,50.25
2024-12-01,49.51
2025-01-01,52.87
2025-02-01,53.87
2025-03-01,58.96
2025-04-01,62.17
2025-05-01,62.16
2025-06-01,62.36
2025-07-01,62.01
2025-08-01,65.10
2025-09-01,72.77
2025-10-01,75.39
2025-11-01,79.41
2025-12-01,81.17
2026-01-01,91.20
2026-02-01,99.07
2026-03-01,88.16
2026-04-01,86.85
2026-05-01,85.49
2026-06-01,75.51
2026-07-01,75.70
2026-07-29,75.46
