Date,Close
2021-08-01,173.13
2021-09-01,161.50
2021-10-01,162.88
2021-11-01,155.93
2021-12-01,171.07
2022-01-01,172.29
2022-02-01,164.57
2022-03-01,177.23
2022-04-01,180.46
2022-05-01,179.53
2022-06-01,177.51
2022-07-01,174.52
2022-08-01,161.34
2022-09-01,163.36
2022-10-01,173.97
2022-11-01,178.00
2022-12-01,176.65
2023-01-01,163.42
2023-02-01,153.26
2023-03-01,155.00
2023-04-01,163.70
2023-05-01,155.06
2023-06-01,165.52
2023-07-01,167.53
2023-08-01,161.68
2023-09-01,155.75
2023-10-01,148.34
2023-11-01,154.66
2023-12-01,156.74
2024-01-01,158.90
2024-02-01,161.38
2024-03-01,158.19
2024-04-01,144.59
2024-05-01,146.67
2024-06-01,146.16
2024-07-01,157.85
2024-08-01,165.86
2024-09-01,162.06
2024-10-01,159.86
2024-11-01,155.01
2024-12-01,144.62
2025-01-01,152.15
2025-02-01,165.02
2025-03-01,165.84
2025-04-01,156.31
2025-05-01,155.21
2025-06-01,152.75
2025-07-01,164.74
2025-08-01,177.17
2025-09-01,185.42
2025-10-01,188.87
2025-11-01,206.92
2025-12-01,206.95
2026-01-01,227.25
2026-02-01,248.43
2026-03-01,244.44
2026-04-01,229.85
2026-05-01,225.33
2026-06-01,253.97
2026-07-01,250.61
2026-07-22,253.54
