Date,Close
2021-08-01,159.95
2021-09-01,163.69
2021-10-01,169.89
2021-11-01,158.83
2021-12-01,158.35
2022-01-01,148.60
2022-02-01,141.80
2022-03-01,136.32
2022-04-01,119.36
2022-05-01,132.23
2022-06-01,112.61
2022-07-01,115.36
2022-08-01,113.73
2022-09-01,104.50
2022-10-01,125.88
2022-11-01,138.18
2022-12-01,134.10
2023-01-01,139.96
2023-02-01,143.35
2023-03-01,130.31
2023-04-01,138.24
2023-05-01,135.71
2023-06-01,145.44
2023-07-01,157.96
2023-08-01,146.33
2023-09-01,145.02
2023-10-01,139.06
2023-11-01,156.08
2023-12-01,170.10
2024-01-01,174.36
2024-02-01,186.06
2024-03-01,200.30
2024-04-01,191.74
2024-05-01,202.63
2024-06-01,202.26
2024-07-01,212.80
2024-08-01,224.80
2024-09-01,210.86
2024-10-01,221.92
2024-11-01,249.72
2024-12-01,239.71
2025-01-01,267.30
2025-02-01,264.65
2025-03-01,245.30
2025-04-01,244.62
2025-05-01,264.00
2025-06-01,289.91
2025-07-01,296.24
2025-08-01,301.42
2025-09-01,315.43
2025-10-01,311.12
2025-11-01,313.08
2025-12-01,322.22
2026-01-01,305.89
2026-02-01,300.30
2026-03-01,294.16
2026-04-01,313.23
2026-05-01,299.31
2026-06-01,327.33
2026-07-01,345.23
2026-07-22,346.11
