Date,Close
2021-08-01,56.31
2021-09-01,52.47
2021-10-01,56.37
2021-11-01,52.45
2021-12-01,59.21
2022-01-01,61.01
2022-02-01,62.24
2022-03-01,62.00
2022-04-01,64.61
2022-05-01,63.38
2022-06-01,62.91
2022-07-01,64.17
2022-08-01,61.71
2022-09-01,56.02
2022-10-01,59.85
2022-11-01,63.61
2022-12-01,63.61
2023-01-01,61.32
2023-02-01,59.51
2023-03-01,62.03
2023-04-01,64.15
2023-05-01,59.66
2023-06-01,60.22
2023-07-01,61.93
2023-08-01,59.83
2023-09-01,55.98
2023-10-01,56.49
2023-11-01,58.44
2023-12-01,58.93
2024-01-01,59.49
2024-02-01,60.02
2024-03-01,61.18
2024-04-01,61.77
2024-05-01,62.93
2024-06-01,63.65
2024-07-01,66.74
2024-08-01,72.47
2024-09-01,71.86
2024-10-01,65.31
2024-11-01,64.08
2024-12-01,62.26
2025-01-01,63.48
2025-02-01,71.21
2025-03-01,71.62
2025-04-01,72.55
2025-05-01,72.10
2025-06-01,70.75
2025-07-01,67.89
2025-08-01,68.99
2025-09-01,66.32
2025-10-01,68.90
2025-11-01,73.12
2025-12-01,69.91
2026-01-01,74.81
2026-02-01,81.56
2026-03-01,76.05
2026-04-01,78.76
2026-05-01,79.01
2026-06-01,81.27
2026-07-01,81.97
2026-07-22,82.50
