Date,AdjClose
2021-08-01,135.64
2021-09-01,131.19
2021-10-01,144.09
2021-11-01,143.36
2021-12-01,152.20
2022-01-01,150.27
2022-02-01,134.04
2022-03-01,131.12
2022-04-01,120.74
2022-05-01,119.96
2022-06-01,113.66
2022-07-01,129.04
2022-08-01,120.39
2022-09-01,109.27
2022-10-01,117.38
2022-11-01,143.31
2022-12-01,135.70
2023-01-01,163.63
2023-02-01,156.08
2023-03-01,172.10
2023-04-01,181.20
2023-05-01,165.25
2023-06-01,178.23
2023-07-01,175.79
2023-08-01,159.77
2023-09-01,142.62
2023-10-01,135.25
2023-11-01,144.40
2023-12-01,154.54
2024-01-01,158.11
2024-02-01,174.07
2024-03-01,172.22
2024-04-01,157.65
2024-05-01,154.38
2024-06-01,147.28
2024-07-01,134.88
2024-08-01,143.17
2024-09-01,147.53
2024-10-01,127.34
2024-11-01,120.50
2024-12-01,126.69
2025-01-01,141.20
2025-02-01,139.28
2025-03-01,120.08
2025-04-01,108.65
2025-05-01,107.14
2025-06-01,103.42
2025-07-01,105.94
2025-08-01,116.23
2025-09-01,120.40
2025-10-01,139.21
2025-11-01,145.95
2025-12-01,148.46
2026-01-01,127.27
2026-02-01,125.71
2026-03-01,107.54
2026-04-01,106.11
2026-05-01,110.55
2026-06-01,110.60
2026-07-01,103.45
2026-07-28,107.75
