Date,Close
2021-08-01,301.88
2021-09-01,281.92
2021-10-01,331.62
2021-11-01,330.59
2021-12-01,336.32
2022-01-01,310.98
2022-02-01,298.79
2022-03-01,308.31
2022-04-01,277.52
2022-05-01,271.87
2022-06-01,256.83
2022-07-01,280.74
2022-08-01,261.47
2022-09-01,232.90
2022-10-01,232.13
2022-11-01,255.14
2022-12-01,239.82
2023-01-01,247.81
2023-02-01,249.42
2023-03-01,288.30
2023-04-01,307.26
2023-05-01,328.39
2023-06-01,340.54
2023-07-01,335.92
2023-08-01,327.76
2023-09-01,315.75
2023-10-01,338.11
2023-11-01,378.91
2023-12-01,376.04
2024-01-01,397.58
2024-02-01,413.64
2024-03-01,420.72
2024-04-01,389.33
2024-05-01,415.13
2024-06-01,446.95
2024-07-01,418.35
2024-08-01,417.14
2024-09-01,430.30
2024-10-01,406.35
2024-11-01,423.46
2024-12-01,421.50
2025-01-01,415.06
2025-02-01,396.99
2025-03-01,375.39
2025-04-01,395.26
2025-05-01,460.36
2025-06-01,497.41
2025-07-01,533.50
2025-08-01,506.69
2025-09-01,517.95
2025-10-01,517.81
2025-11-01,492.01
2025-12-01,483.62
2026-01-01,430.29
2026-02-01,392.74
2026-03-01,370.17
2026-04-01,407.78
2026-05-01,450.24
2026-06-01,373.02
2026-07-01,397.75
2026-07-22,392.23
