Date,AdjClose
2024-02-01,80.73
2024-03-01,82.21
2024-04-01,79.13
2024-05-01,78.03
2024-06-01,77.57
2024-07-01,81.35
2024-08-01,80.98
2024-09-01,82.15
2024-10-01,80.99
2024-11-01,85.76
2024-12-01,81.54
2025-01-01,79.89
2025-02-01,80.56
2025-03-01,74.89
2025-04-01,77.93
2025-05-01,77.30
2025-06-01,75.89
2025-07-01,75.03
2025-08-01,72.31
2025-09-01,73.75
2025-10-01,75.38
2025-11-01,74.62
2025-12-01,73.10
2026-01-01,73.79
2026-02-01,76.72
2026-03-01,73.87
2026-04-01,73.43
2026-05-01,74.76
2026-06-01,75.24
2026-07-01,72.87
2026-07-29,72.60
