Date,Close
2021-08-01,142.39
2021-09-01,139.80
2021-10-01,142.99
2021-11-01,144.58
2021-12-01,163.58
2022-01-01,160.45
2022-02-01,155.89
2022-03-01,152.80
2022-04-01,160.55
2022-05-01,147.88
2022-06-01,143.79
2022-07-01,138.91
2022-08-01,137.94
2022-09-01,126.25
2022-10-01,134.67
2022-11-01,149.16
2022-12-01,151.56
2023-01-01,142.38
2023-02-01,137.56
2023-03-01,148.69
2023-04-01,156.38
2023-05-01,142.50
2023-06-01,151.74
2023-07-01,156.30
2023-08-01,154.34
2023-09-01,145.86
2023-10-01,150.03
2023-11-01,153.52
2023-12-01,146.54
2024-01-01,157.14
2024-02-01,158.94
2024-03-01,162.25
2024-04-01,163.20
2024-05-01,164.54
2024-06-01,164.92
2024-07-01,160.76
2024-08-01,171.54
2024-09-01,173.20
2024-10-01,165.18
2024-11-01,179.26
2024-12-01,167.65
2025-01-01,165.99
2025-02-01,173.84
2025-03-01,170.42
2025-04-01,162.57
2025-05-01,169.89
2025-06-01,159.32
2025-07-01,150.47
2025-08-01,157.04
2025-09-01,153.65
2025-10-01,150.37
2025-11-01,148.16
2025-12-01,143.31
2026-01-01,151.77
2026-02-01,167.20
2026-03-01,144.44
2026-04-01,147.09
2026-05-01,143.56
2026-06-01,146.64
2026-07-01,148.10
2026-07-22,149.52
