Date,AdjClose
2021-08-01,125.59
2021-09-01,121.94
2021-10-01,124.94
2021-11-01,128.41
2021-12-01,125.82
2022-01-01,120.90
2022-02-01,118.92
2022-03-01,112.45
2022-04-01,101.85
2022-05-01,99.55
2022-06-01,98.29
2022-07-01,100.68
2022-08-01,96.09
2022-09-01,88.18
2022-10-01,82.92
2022-11-01,88.85
2022-12-01,86.52
2023-01-01,93.13
2023-02-01,88.62
2023-03-01,92.90
2023-04-01,93.22
2023-05-01,90.41
2023-06-01,90.60
2023-07-01,88.30
2023-08-01,85.53
2023-09-01,78.72
2023-10-01,74.42
2023-11-01,81.81
2023-12-01,88.92
2024-01-01,86.92
2024-02-01,84.96
2024-03-01,85.63
2024-04-01,80.10
2024-05-01,82.41
2024-06-01,83.91
2024-07-01,86.96
2024-08-01,88.79
2024-09-01,90.57
2024-10-01,85.63
2024-11-01,87.33
2024-12-01,81.76
2025-01-01,82.16
2025-02-01,86.84
2025-03-01,85.79
2025-04-01,84.62
2025-05-01,81.91
2025-06-01,84.09
2025-07-01,83.13
2025-08-01,83.14
2025-09-01,86.13
2025-10-01,87.32
2025-11-01,87.56
2025-12-01,85.23
2026-01-01,85.20
2026-02-01,89.15
2026-03-01,85.37
2026-04-01,84.66
2026-05-01,85.11
2026-06-01,86.10
2026-07-01,84.24
2026-07-29,84.08
